temp,humidity,wind,rain,fire
24.0,68,2.3,3.3,0
43.0,23,2.7,0.2,1
37.4,35,3.3,0.2,1
32.9,30,2.3,0.5,1
7.9,87,1.4,4.6,0
5.8,67,0.5,2.0,0
14.3,75,1.5,2.8,0
36.5,30,3.5,0.4,1
19.7,84,1.5,2.3,0
40.4,26,4.6,0.5,1
20.5,94,1.1,4.6,0
37.2,13,3.3,0.5,1
33.8,20,3.8,0.1,1
43.9,20,3.4,0.4,1
14.7,98,1.4,3.1,0
41.5,35,2.4,0.3,1
24.3,76,0.2,3.0,0
15.7,87,2.6,1.6,0
32.1,25,4.8,0.3,1
10.2,71,1.2,3.1,0
13.4,83,0.4,4.4,0
5.6,60,0.9,5.0,0
38.8,35,4.4,0.1,1
13.7,100,2.8,3.1,0
20.9,88,0.2,4.7,0
30.6,10,3.2,0.0,1
33.7,39,3.5,0.2,1
41.6,12,2.2,0.2,1
34.1,11,2.1,0.4,1
36.5,22,2.8,0.2,1
17.0,70,0.1,4.6,0
31.6,17,2.7,0.2,1
12.3,66,1.8,2.2,0
43.2,10,3.7,0.4,1
32.4,40,4.5,0.0,1
11.6,85,2.1,2.1,0
6.4,88,0.7,3.5,0
44.6,34,3.5,0.1,1
23.7,75,0.4,2.1,0
31.2,25,3.4,0.3,1
15.2,76,1.6,1.0,0
34.6,23,4.4,0.4,1
22.0,94,2.9,3.0,0
37.4,32,2.9,0.3,1
8.9,61,2.1,2.2,0
22.2,97,2.4,3.2,0
40.7,17,3.4,0.0,1
41.0,34,2.8,0.3,1
24.7,100,1.9,3.1,0
36.4,28,2.6,0.4,1
38.6,23,3.2,0.4,1
37.6,35,3.6,0.2,1
31.2,33,2.6,0.1,1
31.0,19,2.5,0.4,1
35.8,33,3.3,0.0,1
37.2,12,4.3,0.3,1
24.5,76,3.0,3.2,0
6.4,81,1.4,3.4,0
40.9,10,3.6,0.0,1
9.9,100,2.0,4.5,0
39.9,28,3.8,0.5,1
19.7,76,3.0,2.1,0
31.5,35,3.8,0.0,1
24.7,66,1.9,2.2,0
44.4,35,4.9,0.0,1
31.1,40,3.0,0.1,1
18.0,78,2.1,4.7,0
44.0,39,2.2,0.0,1
34.4,19,2.1,0.4,1
41.7,17,3.3,0.4,1
15.3,97,1.2,2.1,0
13.8,67,2.8,1.6,0
28.1,39,2.3,0.1,1
40.6,28,3.8,0.3,1
9.8,93,1.7,2.2,0
5.4,86,1.6,3.3,0
19.1,92,2.8,2.4,0
6.2,68,0.9,4.4,0
7.6,77,0.9,3.7,0
7.0,100,1.2,4.8,0
28.7,23,4.6,0.5,1
30.2,12,2.2,0.5,1
10.3,79,0.6,2.7,0
32.2,29,3.4,0.2,1
43.5,24,3.0,0.5,1
20.4,60,1.7,3.3,0
5.1,69,1.7,1.3,0
38.9,36,3.9,0.0,1
21.7,79,2.3,2.1,0
9.5,65,2.8,2.9,0
43.9,18,2.4,0.4,1
7.3,100,2.4,4.3,0
17.9,91,1.6,2.6,0
30.0,18,4.1,0.5,1
16.7,65,2.4,4.8,0
23.3,70,2.2,4.5,0
34.4,26,2.0,0.4,1
14.6,88,2.1,4.8,0
7.8,88,1.5,3.2,0
12.2,71,0.6,2.8,0
29.3,14,4.3,0.4,1
35.8,28,5.0,0.0,1
5.5,77,1.8,3.0,0
12.5,66,2.6,3.4,0
37.3,37,2.8,0.2,1
17.3,71,1.6,2.3,0
7.0,96,2.9,1.6,0
42.5,22,3.0,0.2,1
24.6,93,2.2,2.8,0
18.8,88,2.2,2.2,0
32.4,34,2.5,0.1,1
24.6,97,0.4,2.3,0
16.7,74,2.9,3.2,0
32.1,24,3.4,0.4,1
10.5,77,2.2,3.2,0
28.4,23,4.6,0.0,1
19.4,99,0.4,4.3,0
15.2,66,1.7,2.1,0
10.8,66,2.2,4.9,0
22.4,79,1.3,1.6,0
34.7,32,4.7,0.1,1
6.6,76,1.9,4.7,0
7.4,60,2.7,1.3,0
17.5,84,0.4,1.4,0
36.2,24,2.5,0.1,1
35.0,36,3.5,0.0,1
5.1,66,0.0,1.9,0
22.1,61,1.8,3.2,0
8.9,97,3.0,1.1,0
28.1,24,4.9,0.4,1
9.6,70,2.6,3.4,0
30.3,16,3.9,0.1,1
8.2,81,1.5,1.1,0
35.0,39,2.0,0.2,1
38.8,18,3.2,0.4,1
20.4,70,2.4,4.7,0
15.1,92,1.6,2.3,0
11.3,64,1.5,3.0,0
45.0,39,4.3,0.1,1
13.3,82,2.2,4.4,0
35.4,20,2.5,0.1,1
34.5,27,3.0,0.2,1
10.5,87,1.4,1.2,0
30.5,17,4.7,0.3,1
42.1,37,4.9,0.2,1
13.6,84,2.1,4.4,0
11.8,76,1.6,4.8,0
13.5,75,2.6,1.7,0
11.9,77,1.6,2.7,0
24.8,78,2.0,3.6,0
42.6,17,4.5,0.5,1
33.4,18,3.1,0.1,1
30.9,28,3.5,0.2,1
28.7,38,2.5,0.3,1
37.1,38,2.5,0.2,1
23.4,96,2.0,3.1,0
32.8,36,4.5,0.4,1
19.9,60,0.8,1.0,0
36.3,30,4.0,0.4,1
28.1,37,2.0,0.3,1
34.6,15,2.9,0.5,1
30.9,34,2.7,0.4,1
7.1,94,1.6,2.4,0
39.8,23,3.2,0.4,1
40.6,13,3.0,0.1,1
42.5,26,2.5,0.3,1
35.9,34,3.5,0.4,1
41.7,26,3.7,0.1,1
29.9,12,2.2,0.1,1
32.5,14,4.4,0.3,1
24.0,73,1.1,5.0,0
31.5,30,2.2,0.3,1
11.6,70,2.9,1.4,0
42.0,39,3.2,0.0,1
41.2,34,2.7,0.0,1
28.2,40,3.9,0.2,1
8.6,66,1.6,4.9,0
28.4,27,2.2,0.0,1
28.2,13,4.5,0.1,1
8.3,60,2.0,1.7,0
24.7,79,0.6,1.1,0
43.8,33,4.5,0.1,1
11.0,96,1.4,1.8,0
14.4,88,1.8,2.3,0
17.9,72,0.5,4.6,0
32.2,20,3.0,0.2,1
19.1,64,2.8,4.2,0
16.5,60,2.3,4.2,0
13.3,92,2.1,4.3,0
44.5,39,2.0,0.4,1
30.8,31,4.8,0.5,1
44.2,34,2.6,0.4,1
13.5,92,0.4,4.7,0
36.6,35,2.4,0.0,1
15.4,67,0.8,2.4,0
31.7,26,3.4,0.2,1
18.5,94,2.7,1.1,0
21.4,74,2.2,1.7,0
32.8,39,3.2,0.3,1
30.5,38,4.4,0.2,1
23.0,63,1.2,4.4,0
14.4,90,2.5,3.7,0
20.4,70,0.2,3.4,0
10.1,95,0.9,3.7,0
23.5,67,2.5,2.5,0
37.4,15,3.9,0.5,1
21.7,91,2.7,3.9,0
16.7,74,1.0,2.6,0
13.2,67,1.8,3.0,0
38.7,38,4.0,0.1,1
42.8,36,3.1,0.1,1
30.5,31,2.4,0.4,1
8.8,86,0.5,1.7,0
41.4,14,2.3,0.0,1
39.5,26,4.1,0.5,1
41.4,22,4.6,0.2,1
43.9,13,3.5,0.2,1
5.8,97,2.0,4.5,0
32.6,31,3.6,0.0,1
22.6,63,2.1,1.8,0
14.4,91,2.9,4.2,0
20.3,98,2.4,2.2,0
18.9,71,1.3,2.6,0
16.0,68,1.8,4.1,0
24.3,100,0.3,1.4,0
13.6,91,1.2,2.3,0
20.0,67,2.5,4.3,0
34.5,10,2.4,0.0,1
43.6,10,2.7,0.0,1
7.7,62,2.9,2.5,0
19.6,92,0.2,2.6,0
33.5,21,3.4,0.2,1
44.8,19,3.2,0.4,1
6.4,90,1.6,2.1,0
23.8,81,1.7,1.3,0
18.9,100,0.4,3.1,0
11.3,97,1.9,4.8,0
32.8,38,4.4,0.3,1
43.6,17,4.5,0.0,1
38.2,37,3.6,0.5,1
33.6,25,4.6,0.1,1
8.9,66,2.3,1.6,0
15.9,90,1.2,3.3,0
16.4,100,3.0,3.2,0
41.4,29,3.4,0.5,1
5.8,72,0.3,4.5,0
10.4,73,2.4,2.3,0
35.4,26,4.8,0.2,1
7.4,93,1.0,3.0,0
17.2,72,0.8,2.3,0
23.3,62,1.7,2.4,0
24.0,75,2.7,4.9,0
28.0,32,3.2,0.5,1
12.5,91,1.2,1.3,0
29.3,20,3.8,0.1,1
41.9,36,3.7,0.4,1
15.7,68,0.7,2.7,0
10.0,83,0.2,4.2,0
9.7,61,2.3,4.4,0
11.0,79,0.1,4.6,0
28.7,18,4.9,0.2,1
43.1,16,2.9,0.5,1
21.4,67,1.7,1.4,0
18.0,92,0.6,3.1,0
20.1,82,0.0,4.1,0
33.6,10,2.8,0.1,1
43.9,21,2.0,0.1,1
10.0,97,2.1,2.0,0
35.9,29,4.2,0.4,1
24.3,73,3.0,4.8,0
39.1,37,3.2,0.4,1
13.6,63,2.4,2.5,0
33.1,31,5.0,0.3,1
33.5,24,2.9,0.2,1
38.5,14,4.5,0.3,1
43.6,20,2.2,0.0,1
5.6,62,1.6,4.1,0
34.6,36,2.8,0.3,1
35.2,39,4.0,0.2,1
15.9,86,1.8,4.9,0
5.5,62,1.4,3.6,0
12.0,75,1.9,3.9,0
39.2,16,4.8,0.1,1
28.3,18,2.0,0.4,1
34.6,18,3.9,0.5,1
20.9,99,1.0,3.9,0
35.6,32,2.1,0.1,1
10.1,75,1.8,1.7,0
6.7,94,0.8,1.6,0
39.3,35,3.6,0.1,1
18.3,91,0.8,4.5,0
9.2,74,2.6,2.9,0
41.3,19,3.7,0.1,1
5.3,91,1.7,2.0,0
21.3,72,2.8,3.7,0
13.2,71,1.3,2.0,0
39.6,33,3.7,0.4,1
32.4,36,2.5,0.3,1
24.8,96,2.6,2.6,0
18.9,94,0.9,2.5,0
28.2,14,3.3,0.0,1
15.5,98,1.4,4.5,0
41.9,24,2.3,0.4,1
16.7,60,2.7,4.1,0
40.6,35,4.1,0.3,1
41.1,26,3.9,0.1,1
21.3,94,0.5,2.0,0
34.8,23,2.3,0.3,1
39.4,34,2.6,0.1,1
29.2,39,3.9,0.0,1
41.7,15,3.4,0.3,1
28.2,37,2.2,0.4,1
32.8,32,4.1,0.5,1
32.8,13,3.5,0.0,1
22.8,64,1.4,3.1,0
40.7,18,5.0,0.2,1
20.3,97,1.5,1.2,0
12.8,89,3.0,4.3,0
40.1,40,3.5,0.1,1
30.4,11,2.5,0.2,1
11.0,68,1.1,4.2,0
37.6,26,2.9,0.1,1
23.7,65,2.9,3.3,0
35.2,40,4.5,0.2,1
23.9,88,1.2,1.4,0
21.3,90,0.5,2.9,0
40.6,40,3.6,0.0,1
35.0,23,4.1,0.1,1
21.2,79,0.6,3.9,0
28.5,10,4.1,0.3,1
13.5,66,1.9,4.4,0
37.2,32,3.5,0.2,1
41.1,15,3.5,0.4,1
37.4,12,4.9,0.0,1
17.6,78,1.5,2.5,0
20.6,67,0.6,4.0,0
38.2,18,4.6,0.3,1
42.1,40,2.5,0.3,1
16.1,76,2.9,1.8,0
13.6,81,2.1,3.2,0
30.9,28,4.8,0.3,1
36.7,21,2.2,0.1,1
24.9,95,0.9,2.6,0
9.1,79,0.8,2.8,0
28.1,29,2.8,0.0,1
43.6,36,3.4,0.4,1
37.3,16,2.1,0.1,1
11.0,88,2.7,2.0,0
7.5,86,0.7,3.9,0
37.6,18,3.3,0.0,1
10.5,66,2.7,3.0,0
24.6,88,0.5,4.1,0
16.3,82,2.0,1.6,0
39.6,35,3.3,0.4,1
41.4,16,2.5,0.2,1
15.6,96,0.8,4.1,0
17.2,89,2.5,3.3,0
35.5,26,4.3,0.3,1
14.4,72,0.5,4.6,0
43.2,12,4.5,0.4,1
22.8,98,2.1,1.1,0
21.7,70,0.1,4.4,0
15.0,99,2.7,4.9,0
9.4,60,2.7,2.0,0
19.8,77,2.0,4.6,0
10.1,97,1.2,2.3,0
13.2,88,0.9,2.9,0
42.6,40,5.0,0.4,1
8.2,91,2.7,2.2,0
37.5,11,4.9,0.2,1
8.4,92,2.5,3.0,0
38.3,36,4.7,0.3,1
11.5,86,0.9,2.9,0
23.2,62,0.4,3.3,0
35.1,16,3.0,0.3,1
35.3,20,2.2,0.2,1
32.3,13,2.6,0.2,1
34.6,17,4.6,0.1,1
14.8,85,0.1,2.6,0
28.3,13,2.1,0.4,1
34.4,27,4.1,0.2,1
33.1,31,3.5,0.3,1
14.7,73,0.4,2.5,0
18.5,77,1.3,4.8,0
34.7,12,4.2,0.3,1
34.6,35,2.7,0.0,1
30.3,24,3.2,0.4,1
10.5,72,1.5,2.4,0
44.3,38,3.9,0.2,1
6.8,78,1.0,1.4,0
20.6,67,2.9,3.0,0
7.6,98,2.4,2.0,0
17.9,71,0.5,1.2,0
31.8,39,3.1,0.2,1
24.2,95,2.4,3.0,0
17.2,98,1.5,4.8,0
15.1,73,2.8,2.1,0
34.8,40,4.9,0.3,1
6.9,91,1.1,2.3,0
8.3,93,2.2,3.8,0
34.4,34,2.7,0.1,1
6.8,86,1.4,4.0,0
40.5,24,4.8,0.3,1
44.1,28,2.2,0.2,1
33.9,19,4.4,0.3,1
37.1,18,2.8,0.3,1
13.5,80,1.9,1.8,0
31.9,14,4.3,0.0,1
28.5,36,3.6,0.2,1
35.3,12,4.7,0.4,1
11.6,92,1.5,2.2,0
40.7,12,4.9,0.2,1
35.2,40,2.8,0.4,1
9.8,97,2.4,1.1,0
42.0,33,4.0,0.4,1
39.8,37,3.9,0.1,1
38.5,17,4.5,0.0,1
33.0,11,3.3,0.3,1
9.0,89,3.0,3.0,0
40.1,19,3.4,0.3,1
17.4,73,0.5,3.9,0
32.4,26,2.7,0.1,1
10.3,87,2.3,2.4,0
20.4,84,2.8,2.8,0
39.0,11,4.4,0.2,1
40.0,17,2.9,0.3,1
12.6,76,0.9,2.1,0
8.6,91,2.6,1.5,0
30.3,11,2.7,0.1,1
33.7,37,3.6,0.1,1
10.9,71,3.0,2.2,0
32.7,14,4.5,0.1,1
24.8,90,1.5,1.8,0
11.1,90,1.8,2.8,0
44.7,33,2.2,0.1,1
12.0,70,1.7,3.2,0
30.2,12,3.1,0.4,1
34.2,34,4.4,0.3,1
16.5,76,2.6,4.7,0
20.0,96,1.5,4.2,0
6.6,98,1.3,4.3,0
28.7,12,2.3,0.4,1
32.9,29,4.0,0.0,1
14.9,63,1.5,1.5,0
5.4,83,0.4,4.1,0
44.8,37,2.6,0.0,1
17.6,83,2.2,4.3,0
38.5,19,2.5,0.1,1
11.5,63,0.8,1.3,0
8.8,96,2.6,5.0,0
44.0,21,2.6,0.4,1
38.7,24,3.9,0.2,1
6.5,88,0.1,4.9,0
29.5,39,4.8,0.3,1
24.1,64,1.8,1.5,0
33.0,22,2.3,0.2,1
38.0,14,2.5,0.1,1
7.4,79,2.5,1.1,0
44.5,15,2.3,0.3,1
16.7,84,1.3,4.6,0
16.8,60,2.9,4.0,0
19.2,64,2.1,1.3,0
36.7,14,4.2,0.4,1
19.9,63,1.9,3.7,0
16.0,68,0.9,1.5,0
28.1,22,4.9,0.2,1
39.7,11,4.7,0.3,1
41.8,25,2.0,0.2,1
31.1,33,2.6,0.4,1
13.5,72,0.0,3.3,0
44.1,36,4.9,0.4,1
42.8,25,4.6,0.2,1
5.7,99,1.5,1.1,0
29.3,32,3.2,0.4,1
8.4,86,2.2,3.6,0
19.5,90,2.7,2.8,0
21.9,93,2.2,3.8,0
29.8,16,2.1,0.3,1
31.6,31,4.1,0.3,1
16.3,70,0.6,4.6,0
31.6,16,4.5,0.1,1
20.1,88,0.5,1.8,0
22.8,88,1.7,4.6,0
25.0,75,0.9,2.2,0
30.2,24,4.8,0.2,1
11.5,87,0.0,3.6,0
40.5,29,2.1,0.0,1
43.2,10,4.9,0.4,1
33.2,19,4.9,0.2,1
28.6,22,3.0,0.4,1
33.3,12,4.9,0.1,1
19.1,66,0.1,1.2,0
39.4,35,4.7,0.2,1
22.7,69,2.1,2.7,0
35.0,17,2.4,0.4,1
29.9,25,4.3,0.4,1
16.6,71,2.6,4.8,0
7.8,96,2.5,2.2,0
29.9,13,3.3,0.4,1
42.3,15,4.9,0.0,1
33.6,20,4.6,0.4,1
36.6,23,3.0,0.2,1
33.9,23,4.7,0.3,1
11.2,94,2.7,3.9,0
36.7,29,2.8,0.3,1
39.2,29,2.6,0.1,1
38.3,36,3.3,0.3,1
35.0,20,4.0,0.1,1
42.3,39,3.2,0.2,1
43.2,38,4.1,0.2,1
32.3,26,4.0,0.1,1
24.5,62,0.0,3.2,0
6.7,71,0.3,2.9,0
33.0,21,4.6,0.3,1
18.5,90,0.9,4.2,0
34.5,38,3.6,0.5,1
5.1,92,0.6,2.5,0
43.6,31,4.6,0.3,1
9.0,69,0.9,2.9,0
20.3,96,0.6,2.8,0
43.4,20,3.6,0.0,1
41.8,21,2.4,0.0,1
9.3,80,2.2,1.6,0
14.0,60,1.1,2.8,0
7.9,75,1.7,4.6,0
35.9,35,4.7,0.0,1
10.3,66,1.9,2.4,0
15.5,86,2.7,1.3,0
16.9,65,0.6,4.3,0
17.4,72,2.8,1.6,0
28.7,11,2.1,0.0,1
6.5,67,2.5,2.8,0
12.1,77,2.4,2.2,0
44.0,33,3.2,0.1,1
9.3,76,1.6,3.8,0
6.5,96,2.4,1.7,0
37.7,12,2.9,0.5,1
10.7,60,0.1,5.0,0
9.1,99,1.9,4.1,0
43.4,16,2.9,0.2,1
28.8,19,2.2,0.3,1
9.8,61,1.9,1.6,0
34.4,39,3.4,0.1,1
18.2,82,1.2,2.3,0
18.9,76,0.7,2.0,0
16.0,68,0.6,4.2,0
23.5,65,2.3,2.6,0
38.3,23,4.9,0.1,1
24.8,87,2.9,4.1,0
13.8,97,2.2,3.3,0
18.6,71,0.2,1.3,0
18.6,97,0.1,4.5,0
13.4,93,2.9,4.6,0
33.7,23,3.0,0.4,1
36.2,40,4.9,0.1,1
16.1,100,2.8,1.7,0
39.3,10,3.5,0.2,1
30.9,40,4.8,0.1,1
8.4,86,1.7,2.0,0
10.9,91,1.8,4.0,0
33.8,38,5.0,0.1,1
13.5,87,1.3,1.7,0
6.4,69,1.2,4.6,0
18.9,71,2.7,3.4,0
18.0,90,0.1,4.8,0
19.3,80,1.4,1.9,0
5.2,83,1.6,4.8,0
18.4,100,2.0,3.8,0
37.8,15,4.2,0.2,1
10.4,76,0.0,4.9,0
30.1,10,4.5,0.5,1
10.8,81,1.4,2.3,0
29.5,11,4.6,0.4,1
43.2,38,3.2,0.2,1
38.1,30,2.6,0.4,1
43.0,24,4.0,0.0,1
35.5,24,3.1,0.1,1
44.4,33,2.7,0.1,1
29.8,14,2.6,0.4,1
34.6,15,3.6,0.3,1
14.4,60,2.3,4.6,0
12.2,74,2.8,4.0,0
35.4,35,4.1,0.2,1
17.3,77,0.2,2.1,0
16.7,84,2.9,3.2,0
6.9,64,1.4,2.0,0
31.2,11,3.7,0.3,1
8.5,96,2.2,2.5,0
13.2,96,0.6,2.0,0
7.2,75,2.7,4.0,0
8.0,75,2.6,2.7,0
9.3,97,2.9,3.9,0
5.5,79,0.5,3.1,0
29.7,24,3.2,0.5,1
31.5,36,3.0,0.3,1
15.1,69,1.3,1.1,0
39.6,18,3.4,0.3,1
18.0,91,0.5,4.1,0
42.2,26,2.2,0.2,1
15.1,99,2.2,4.4,0
14.1,82,1.8,1.8,0
24.0,69,0.5,4.0,0
23.2,69,0.4,2.2,0
44.2,12,4.4,0.1,1
36.0,11,4.0,0.3,1
39.4,39,4.1,0.2,1
36.0,17,2.0,0.0,1
38.4,28,3.7,0.4,1
11.6,76,2.4,2.9,0
42.1,38,3.7,0.0,1
36.8,24,3.3,0.4,1
37.1,28,2.7,0.4,1
30.3,29,3.3,0.1,1
20.8,71,2.9,4.4,0
39.8,25,3.1,0.2,1
16.6,64,3.0,2.3,0
30.5,29,3.1,0.4,1
6.1,100,0.3,3.7,0
41.8,16,3.0,0.3,1
43.6,40,4.4,0.2,1
28.3,22,4.2,0.4,1
44.9,13,3.1,0.3,1
31.8,17,4.7,0.1,1
19.2,83,2.9,4.4,0
9.9,98,1.9,3.8,0
19.1,64,1.6,2.5,0
30.6,33,4.7,0.3,1
15.5,83,2.6,3.1,0
29.6,32,3.2,0.2,1
23.3,96,0.6,3.4,0
23.6,87,1.8,2.9,0
6.5,94,1.6,4.6,0
42.0,26,2.3,0.5,1
39.9,40,2.6,0.5,1
39.6,37,4.5,0.4,1
13.7,96,2.0,3.1,0
19.3,90,0.4,3.1,0
35.9,16,2.8,0.1,1
29.3,37,3.2,0.4,1
44.2,20,3.7,0.2,1
33.3,19,4.9,0.5,1
12.7,99,1.5,3.9,0
20.4,89,0.8,1.4,0
43.9,27,2.7,0.1,1
33.5,10,4.2,0.3,1
24.7,61,1.6,4.2,0
44.9,10,2.6,0.1,1
34.7,25,2.5,0.2,1
10.9,82,0.5,4.1,0
41.4,38,3.9,0.3,1
23.4,70,2.4,2.2,0
10.2,67,0.9,3.4,0
24.8,63,0.3,1.9,0
28.7,26,2.9,0.5,1
24.7,88,1.3,4.7,0
11.8,70,1.6,3.3,0
22.3,82,2.3,5.0,0
22.5,82,1.7,3.7,0
37.2,32,3.1,0.4,1
19.1,83,0.1,4.4,0
17.3,60,1.0,1.9,0
8.3,97,2.1,1.5,0
6.4,100,1.0,4.8,0
21.5,68,1.1,4.4,0
39.1,18,2.5,0.1,1
35.1,11,4.9,0.0,1
31.0,40,3.0,0.4,1
7.1,99,1.1,1.2,0
5.7,87,0.3,2.8,0
21.7,67,0.2,5.0,0
11.3,65,1.4,4.6,0
23.3,88,1.3,2.4,0
31.3,16,2.3,0.3,1
19.9,69,1.0,3.5,0
33.2,26,2.1,0.3,1
22.4,74,1.9,1.1,0
21.4,73,0.9,1.3,0
31.9,21,3.8,0.4,1
11.8,85,1.3,3.7,0
19.5,79,2.6,3.2,0
12.3,83,1.7,4.4,0
29.1,21,4.8,0.2,1
13.6,61,2.5,4.7,0
42.9,20,2.3,0.0,1
7.5,67,1.1,4.8,0
22.6,66,0.2,4.1,0
5.9,91,0.6,2.1,0
23.8,65,2.7,2.8,0
19.0,68,2.5,2.0,0
42.5,40,3.4,0.3,1
16.5,65,1.0,3.1,0
5.9,61,0.5,2.4,0
43.8,16,2.7,0.4,1
43.9,37,4.1,0.5,1
31.6,25,2.8,0.4,1
6.4,82,1.4,4.1,0
32.4,12,4.0,0.5,1
5.3,77,0.0,2.4,0
6.7,74,0.9,3.8,0
29.4,31,4.0,0.3,1
37.3,27,2.7,0.3,1
17.1,97,0.2,3.6,0
18.0,78,2.2,3.7,0
29.6,11,3.6,0.5,1
24.1,76,2.1,4.4,0
21.3,76,0.3,4.8,0
33.1,36,4.0,0.5,1
24.9,98,1.5,4.1,0
44.6,40,2.6,0.5,1
44.1,16,3.8,0.0,1
35.2,33,4.4,0.2,1
17.1,75,0.3,2.2,0
22.3,69,0.7,1.9,0
33.8,38,2.9,0.4,1
37.8,19,2.5,0.5,1
13.2,69,0.1,2.9,0
19.4,93,2.6,2.5,0
17.3,72,0.0,4.5,0
30.1,24,3.8,0.4,1
44.2,26,2.5,0.4,1
34.3,33,2.3,0.0,1
37.8,23,3.3,0.0,1
12.5,65,1.0,3.9,0
44.4,13,4.1,0.4,1
41.1,22,4.1,0.4,1
24.1,92,0.4,2.2,0
32.1,10,2.6,0.2,1
45.0,23,4.5,0.4,1
7.7,69,0.8,1.2,0
38.8,32,4.9,0.2,1
7.8,86,0.5,4.2,0
14.1,97,1.4,3.1,0
42.1,12,4.8,0.4,1
18.1,87,1.1,4.4,0
19.4,63,2.9,2.0,0
22.0,96,2.6,1.6,0
39.8,38,4.3,0.0,1
28.3,29,2.3,0.4,1
38.7,40,4.8,0.4,1
22.3,73,1.9,2.5,0
9.0,81,1.4,2.6,0
8.9,74,0.1,1.6,0
28.1,21,2.5,0.4,1
23.7,62,1.3,3.8,0
43.1,37,3.1,0.4,1
23.1,83,0.1,1.3,0
18.9,90,1.5,4.1,0
43.2,12,2.8,0.4,1
9.7,62,1.9,2.6,0
30.8,27,2.7,0.2,1
5.9,70,2.6,1.9,0
43.9,17,3.7,0.4,1
12.8,73,0.9,1.6,0
6.6,73,1.8,3.6,0
42.8,13,2.4,0.3,1
11.9,86,2.7,1.2,0
34.9,26,2.2,0.3,1
20.3,77,0.3,1.1,0
13.6,80,1.6,4.1,0
9.6,93,1.5,1.5,0
21.4,80,2.9,2.6,0
39.4,11,2.1,0.2,1
31.3,26,2.1,0.2,1
8.5,83,0.2,1.3,0
28.7,18,4.0,0.2,1
13.7,88,0.6,4.6,0
38.6,32,2.1,0.3,1
14.6,81,2.0,4.9,0
37.0,11,3.9,0.5,1
8.3,68,1.3,3.7,0
15.2,63,1.3,2.4,0
12.3,92,0.7,2.8,0
14.8,78,0.1,4.7,0
42.1,29,2.9,0.3,1
10.8,98,2.8,3.8,0
30.1,20,4.4,0.1,1
32.7,11,3.6,0.2,1
18.2,91,2.6,1.2,0
36.7,36,3.0,0.3,1
41.1,21,2.7,0.4,1
6.5,74,1.2,5.0,0
35.3,25,3.3,0.2,1
39.1,15,4.9,0.4,1
35.3,30,2.8,0.1,1
35.1,40,3.1,0.0,1
37.3,27,2.2,0.2,1
30.0,22,3.5,0.4,1
41.9,20,2.2,0.3,1
28.2,22,2.0,0.1,1
43.0,36,4.1,0.1,1
6.9,80,1.2,2.2,0
19.0,65,1.8,2.6,0
41.4,17,4.1,0.3,1
39.1,18,4.0,0.1,1
9.5,94,1.0,2.7,0
12.5,100,2.7,3.4,0
21.2,91,1.0,3.1,0
20.3,85,2.4,1.8,0
20.2,60,0.8,1.5,0
14.9,89,1.9,4.9,0
10.4,79,1.8,3.8,0
35.3,26,4.7,0.2,1
42.4,19,4.9,0.4,1
29.1,15,3.9,0.2,1
15.0,97,0.4,3.6,0
29.8,29,3.3,0.3,1
7.1,100,2.1,1.6,0
